game_id,platform_id
238,32
239,15
240,15
241,14
241,15
241,21
241,22
241,29
241,30
241,32
242,15
242,20
242,21
242,28
242,29
243,15
243,21
243,29
244,15
244,21
244,29
245,15
245,32
246,15
246,28
247,15
247,21
247,29
247,32
248,8
248,15
248,21
248,29
248,32
249,14
249,15
249,21
249,29
250,15
250,20
250,21
250,28
250,29
251,8
251,15
251,32
252,8
252,15
252,16
252,20
252,21
252,26
252,29
252,32
253,8
253,15
253,21
253,29
253,32
254,8
254,14
254,15
254,21
254,27
254,29
254,32
255,1
255,15
255,20
255,21
255,28
256,8
256,15
256,32
257,1
257,8
257,15
257,31
257,32
258,1
258,14
258,15
258,16
258,21
258,31
259,15
259,20
259,28
259,29
259,32
260,15
260,20
260,21
260,28
260,29
261,15
261,20
261,28
261,29
261,32
262,15
262,20
262,28
263,14
263,15
263,20
263,21
263,28
263,29
264,14
264,15
264,21
264,29
264,32
265,1
265,15
265,20
265,26
265,28
265,29
265,31
266,15
266,20
266,28
266,29
266,32
267,1
267,8
267,15
267,20
267,28
267,31
267,32
268,15
268,21
268,29
269,15
269,20
269,28
270,14
270,15
270,21
270,29
270,31
270,32
271,8
271,15
271,21
271,31
271,32
272,8
272,14
272,15
272,21
272,28
272,31
272,32
273,14
273,15
273,21
273,29
274,14
274,15
274,21
274,22
274,29
274,30
275,8
275,15
275,21
275,29
275,32
276,15
276,20
276,28
277,8
277,15
277,32
278,15
278,21
278,22
278,29
278,30
279,15
279,21
279,29
279,32
280,8
280,15
280,32
281,8
281,15
281,32
282,15
282,32
283,15
283,32
284,15
284,32
285,8
285,14
285,15
285,21
285,29
285,32
286,8
286,15
286,32
287,8
287,15
287,32
288,1
288,8
288,15
288,31
288,32
289,15
290,15
290,20
290,28
291,15
291,20
291,28
292,15
292,20
292,28
293,8
293,15
293,21
293,29
294,15
294,21
294,29
295,8
295,14
295,15
295,16
295,20
295,21
295,28
295,31
295,32
296,10
296,15
296,16
296,20
296,21
296,28
296,29
297,15
297,20
297,21
297,28
297,29
298,14
298,15
298,21
298,28
298,29
299,14
299,15
299,16
299,20
299,21
299,29
300,15
300,20
300,28
300,29
301,15
301,21
301,29
302,8
302,15
302,31
302,32
303,15
303,28
304,15
304,28
304,29
305,15
305,27
305,32
306,8
306,14
306,15
306,32
307,8
307,15
307,21
307,31
307,32
308,14
308,15
308,21
308,29
308,30
309,2
309,8
309,15
309,32
310,15
310,32
311,15
311,20
311,28
311,29
312,15
312,20
312,28
313,15
313,21
313,22
313,29
314,15
314,21
314,29
315,1
315,14
315,15
315,21
315,29
315,31
316,15
317,15
317,20
317,21
317,28
317,29
318,15
318,19
318,20
318,25
318,27
318,28
319,15
319,20
319,28
319,29
320,15
320,20
320,21
320,28
320,29
321,15
321,20
321,21
321,28
321,29
322,15
322,20
322,21
322,28
322,29
323,15
323,21
323,29
324,15
324,21
324,22
324,29
324,30
325,15
325,21
325,29
326,15
326,21
326,29
327,8
327,14
327,15
327,21
327,31
327,32
328,15
328,21
328,22
329,1
329,14
329,15
329,18
329,21
329,29
329,31
330,8
330,14
330,15
330,21
330,29
330,32
331,8
331,15
331,21
331,31
331,32
332,8
332,15
332,32
333,8
333,15
333,19
333,27
334,15
334,16
334,20
334,21
334,31
335,15
335,21
335,29
336,1
336,14
336,15
336,21
336,22
336,29
336,30
336,31
337,14
337,15
337,21
337,29
337,31
338,15
338,29
338,30
339,15
339,22
339,29
339,30
339,31
340,15
341,14
341,15
341,21
341,29
342,8
342,15
342,16
342,21
342,29
342,31
342,32
343,14
343,15
343,21
343,29
344,12
344,15
344,20
344,28
344,29
345,15
345,20
345,28
345,32
346,15
347,1
347,8
347,15
347,31
347,32
348,1
348,15
348,20
348,21
348,28
348,29
348,31
348,32
349,15
350,8
350,15
350,21
350,29
350,32
351,8
351,15
351,32
352,15
352,29
352,30
353,15
353,28
353,29
354,15
354,29
354,30
355,8
355,15
356,1
356,14
356,15
356,21
356,22
356,31
357,15
357,21
357,22
358,14
358,15
358,21
358,22
358,29
358,30
359,15
359,20
359,26
359,28
360,1
360,8
360,15
360,20
360,21
360,28
360,29
360,31
360,32
361,15
362,15
362,21
363,15
363,21
363,22
364,8
364,14
364,15
364,21
364,29
364,32
365,8
365,14
365,15
365,21
365,31
365,32
366,14
366,15
367,15
368,15
369,15
370,1
370,15
370,19
370,21
370,27
370,31
370,32
371,15
371,20
371,28
371,29
372,15
372,20
372,21
372,22
372,28
372,29
372,30
373,15
373,20
373,28
374,1
374,15
374,19
374,20
374,21
374,27
374,28
374,29
374,31
374,32
375,1
375,15
375,16
375,19
375,21
375,27
375,31
375,32
376,1
